MOF,Isotherm,Adsorbate,Temperature,OriginalUnits,Conv,DOI,Year,PoreVolIsot
CuBTC,10.1016j.micromeso.2014.03.004.isotherm2,Nitrogen,77,cm3(STP)/g,0.045,10.1016/j.micromeso.2014.03.004,2014,0.169
CuBTC,10.1016s2095-4956(14)60171-6.isotherm2,Nitrogen,77,cm3(STP)/g,0.045,10.1016/S2095-4956(14)60171-6,2014,0.224
CuBTC,10.1016j.memsci.2010.07.005.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1016/j.memsci.2010.07.005,2010,0.291
CuBTC,10.1016j.micromeso.2011.02.003.isotherm5,Nitrogen,77,cm3(STP)/g,0.045,10.1016/j.micromeso.2011.02.003,2011,0.301
CuBTC,10.1039c2jm15596f.isotherm2,Nitrogen,77,cm3(STP)/g,0.045,10.1039/C2jm15596f,2012,0.322
CuBTC,10.1021cm503640c.isotherm2,Argon,87,cm3(STP)/g,,10.1021/cm503640c,2015,0.35
CuBTC,10.1002ejic.201000494.isotherm2,Nitrogen,77,cm3(STP)/g,0.045,10.1002/ejic.201000494,2010,0.356
CuBTC,10.1016j.cattod.2011.03.017.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1016/j.cattod.2011.03.017,2011,0.378
CuBTC,10.1016j.jssc.2005.07.002.isotherm5,Argon,87,cm3(STP)/g,,10.1016/j.jssc.2005.07.002,2005,0.386
CuBTC,10.1021ja807357r.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1021/Ja807357r,2009,0.395
CuBTC,10.1021jacs.6b10768.isotherm2,Nitrogen,77,cm3(STP)/g,0.045,10.1021/jacs.6b10768,2017,0.4
CuBTC,10.1039c2cc34416e.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1039/C2cc34416e,2012,0.403
CuBTC,10.1016s2095-4956(14)60173-x.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1016/S2095-4956(14)60173-X,2014,0.417
CuBTC,10.1021jp506335x.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1021/Jp506335x,2014,0.421
CuBTC,10.1039c3ra40817e.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1039/C3ra40817e,2013,0.428
CuBTC,10.1021ie300553k.isotherm3,Nitrogen,77,cm3(STP)/g,0.045,10.1021/Ie300553k,2012,0.44
CuBTC,10.1039c4ta02568g.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1039/C4ta02568g,2014,0.44
CuBTC,10.1039c4ta02568g.isotherm2,Nitrogen,77,cm3(STP)/g,0.045,10.1039/C4ta02568g,2014,0.44
CuBTC,10.1039b921558a.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1039/B921558a,2010,0.446
CuBTC,10.1016j.carbon.2010.09.059.isotherm4,Nitrogen,77,cm3(STP)/g,0.045,10.1016/j.carbon.2010.09.059,2011,0.458
CuBTC,10.1007s10450-010-9267-5.isotherm3,Nitrogen,77,cm3(STP)/g,0.045,10.1007/s10450-010-9267-5,2010,0.461
CuBTC,10.1007s1093401498917.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1007/s10934-014-9891-7,2014,0.461
CuBTC,10.1007s10973-013-3497-1.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1007/s10973-013-3497-1,2013,0.466
CuBTC,10.1016j.molcata.2015.01.014.isotherm1,Nitrogen,77,ml/g,0.045,10.1016/j.molcata.2015.01.014,2015,0.473
CuBTC,10.5012bkcs.2009.30.12.2921.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.5012/bkcs.2009.30.12.2921,2009,0.474
CuBTC,10.1039c5nj00618j.isotherm2,Nitrogen,77,ml/g,0.045,10.1039/c5nj00618j,2015,0.475
CuBTC,10.1016j.micromeso.2011.06.024.isotherm32,Nitrogen,77,cm3(STP)/g,0.045,10.1016/j.micromeso.2011.06.024,2012,0.486
CuBTC,10.1016j.jcis.2012.06.040.isotherm5,Nitrogen,77,mmol/g,1.0,10.1016/j.jcis.2012.06.040,2012,0.491
CuBTC,10.1002adma.201400428.isotherm2,Nitrogen,77,cm3(STP)/g,0.045,10.1002/adma.201400428,2014,0.499
CuBTC,10.1021la2017424.isotherm2,Nitrogen,77,cm3(STP)/g,0.045,10.1021/La2017424,2011,0.5
CuBTC,10.1039c5ta01359c.isotherm6,Nitrogen,77,cm3(STP)/g,0.045,10.1039/c5ta01359c,2015,0.505
CuBTC,10.1039c5ra02440d.isotherm4,Nitrogen,77,cm3(STP)/g,0.045,10.1039/c5ra02440d,2015,0.518
CuBTC,10.1016j.jallcom.2015.07.065.isotherm2,Nitrogen,77,cm3(STP)/g,0.045,10.1016/j.jallcom.2015.07.065,2015,0.532
CuBTC,10.1039c5cc02809d.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1039/c5cc02809d,2015,0.538
CuBTC,10.1021acs.iecr.5b00458.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1021/acs.iecr.5b00458,2015,0.541
CuBTC,10.1021ja8007159.isotherm2,Nitrogen,77,cm3(STP)/g,0.045,10.1021/Ja8007159,2008,0.545
CuBTC,10.1021acsami.6b00608.isotherm3,Nitrogen,77,cm3(STP)/g,0.045,10.1021/acsami.6b00608,2016,0.55
CuBTC,10.1039c2cc34782b.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1039/C2cc34782b,2012,0.566
CuBTC,10.1021ie400329c.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1021/Ie400329c,2013,0.589
CuBTC,10.1021acs.iecr.7b03008.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1021/acs.iecr.7b03008,2017,0.63
CuBTC,10.1021jp902736z.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1021/Jp902736z,2009,0.63
CuBTC,10.1002chem.201201574.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1002/chem.201201574,2012,0.632
CuBTC,10.1002anie.201402950.isotherm2,Nitrogen,77,cm3(STP)/g,0.045,10.1002/anie.201402950,2014,0.635
CuBTC,10.1021ja2042113.isotherm8,Nitrogen,77,mmol/g,1.0,10.1021/Ja2042113,2011,0.64
CuBTC,10.1021ja509960n.isotherm10,Nitrogen,77,cm3(STP)/g,0.045,10.1021/Ja509960n,2014,0.648
CuBTC,10.1021jp207411b.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1021/Jp207411b,2012,0.662
CuBTC,10.1016j.poly.2009.04.025.isotherm1,Nitrogen,77,ml/g,0.045,10.1016/j.poly.2009.04.025,2009,0.665
CuBTC,10.1016j.micromeso.2011.12.053.isotherm3,Nitrogen,77,cm3(STP)/g,0.045,10.1016/j.micromeso.2011.12.053,2012,0.667
CuBTC,10.1021nn5027092.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1021/Nn5027092,2014,0.67
CuBTC,10.1016j.talanta.2015.02.032.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1016/j.talanta.2015.02.032,2015,0.675
CuBTC,10.1039c0ce00486c.isotherm3,Nitrogen,77,cm3(STP)/g,0.045,10.1039/C0ce00486c,2010,0.675
CuBTC,10.1039c5ce00938c.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1039/c5ce00938c,2015,0.692
CuBTC,10.1002adem.201000246.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1002/adem.201000246,2010,0.705
CuBTC,10.1016j.catcom.2013.04.019.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1016/j.catcom.2013.04.019,2013,0.712
CuBTC,10.1016j.jhazmat.2011.08.069.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1016/j.jhazmat.2011.08.069,2011,0.716
CuBTC,10.1016j.micromeso.2008.11.020.isotherm7,Nitrogen,77,cm3(STP)/g,0.045,10.1016/j.micromeso.2008.11.020,2009,0.717
CuBTC,10.1016j.micromeso.2013.02.025.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1016/j.micromeso.2013.02.025,2013,0.721
CuBTC,10.1021acs.iecr.6b00774.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1021/acs.iecr.6b00774,2016,0.722
CuBTC,10.1021ie502489q.isotherm14,Nitrogen,77,cm3(STP)/g,0.045,10.1021/Ie502489q,2014,0.727
CuBTC,10.1016j.jcat.2014.07.010.isotherm15,Nitrogen,77,cm3(STP)/g,0.045,10.1016/j.jcat.2014.07.010,2014,0.729
CuBTC,10.1016j.ces.2010.02.005.isotherm1,Nitrogen,77,mmol/g,1.0,10.1016/j.ces.2010.02.005,2010,0.736
CuBTC,10.1039c2jm16770k.isotherm1,Nitrogen,77,mmol/g,1.0,10.1039/c2jm16770k,2012,0.741
CuBTC,10.1021ic500722n.isotherm6,Nitrogen,77,cm3(STP)/g,0.045,10.1021/Ic500722n,2014,0.743
CuBTC,10.1002adma.201203664.isotherm3,Nitrogen,77,cm3(STP)/g,0.045,10.1002/adma.201203664,2012,0.748
CuBTC,10.1021jz101665x.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1021/Jz101665x,2011,0.748
CuBTC,10.1021cm1012119.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1021/Cm1012119,2010,0.749
CuBTC,10.1021ef800938e.isotherm1,Nitrogen,77,ml/g,0.045,10.1021/Ef800938e,2009,0.749
CuBTC,10.1002app.42764.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1002/app.42764,2015,0.75
CuBTC,10.1002anie.201504572.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1002/anie.201504572,2015,0.759
